time,trans_flag,des_cont_state_fl,des_cont_state_fr,des_cont_state_rl,des_cont_state_rr,cont_state_fl,cont_state_fr,cont_state_rl,cont_state_rr,vel_cmd_x,vel_cmd_y,vel_cmd_yaw,acc_cmd_x,acc_cmd_y,acc_cmd_yaw,base_pos_x,base_pos_y,base_pos_z,base_ang_roll,base_ang_pitch,base_ang_yaw,FL_foot_pos_x,FL_foot_pos_y,FL_foot_pos_z,FR_foot_pos_x,FR_foot_pos_y,FR_foot_pos_z,RL_foot_pos_x,RL_foot_pos_y,RL_foot_pos_z,RR_foot_pos_x,RR_foot_pos_y,RR_foot_pos_z,base_vel_x,base_vel_y,base_vel_z,base_vel_roll,base_vel_pitch,base_vel_yaw,x_vel_err,y_vel_err,z_vel_err,roll_vel_err,pitch_vel_err,yaw_vel_err,cmd_err,cont_err,terr_freq,terr_height,failed,gait_id,base,CoT,musculoskeletal,foot_force,MWE,stability,FL_stride_t,FR_stride_t,RL_stride_t,RR_stride_t
0.01,0.0,1,1,1,1,1,1,1,0,0.006283178692509316,0.0,0.005026527078818862,0.6283178692509316,0.0,0.5026527078818862,-6.357397800836475e-05,-1.0330601659985211e-05,0.3099052754831004,-0.00029341073791422785,0.0004938342825300257,1.291001560572275e-05,0.18297244045293642,0.13204908918643257,0.017331637857368576,0.18297566288138672,-0.13205088091440995,0.01733160740363318,-0.183009442150183,0.13204863977036627,0.017331568231297306,-0.18300647032308287,-0.13205122188707907,0.01733155971381306,-0.015050532733401817,-0.0028215471235894358,-0.0244871760028013,-0.10402908896676644,0.10346864010436455,0.005425505051388277,0.02133371142591113,0.0028215471235894358,0.0244871760028013,0.10402908896676644,0.10346864010436455,0.00039897797256941477,0.02455423652206998,85.0,3,0.3,0,42,0.013148989752638656,7.530162445739618,0.02947223071473328,36.771909273516556,0.017894316468470742,85.0,0,0,0,0
0.02,0.0,1,1,1,1,1,1,1,1,0.014137091596022201,0.0,0.011309492449657768,0.7853912903512885,0.0,0.6282965370838907,-0.00025715478063457434,-4.369994532504456e-05,0.3094896912990738,-0.0015307526026252126,0.0015398823197352307,9.543561780795741e-06,0.18290969340089205,0.13204668766081187,0.017339891821029796,0.18291856253175814,-0.13205322833025007,0.01733976936386919,-0.1830464538572318,0.13204664894993343,0.017339526390636628,-0.18303763433040116,-0.13205308716765665,0.017339488447833368,-0.02252895769083343,-0.0025000262768672806,-0.058588400537403294,-0.0415293217293702,0.1018683887073923,-0.00106115137020052,0.03666604928685563,0.0025000262768672806,0.058588400537403294,0.0415293217293702,0.1018683887073923,0.012370643819858288,0.051536719383581196,0.0,3,0.3,0,0,0.04399671406286751,7.035122302871356,0.03925448474534162,33.53941542524332,0.06603190805875386,0.0,0.0,0.0,0.0,0.01
0.03,0.0,1,1,1,1,1,1,1,1,0.02199086497214841,0.0,0.01759201134109972,0.7853773376126207,0.0,0.628251889144195,-0.000513654366611576,-7.342750447413454e-05,0.30877624615002003,-0.002157112067446001,0.002474201387147934,-2.180803413470085e-05,0.18282703246980872,0.13204432472542915,0.017348429108383273,0.1828381501653166,-0.1320555614399379,0.017348248675435607,-0.18310630463375738,0.13204482831659226,0.01734767245549837,-0.18309491098923406,-0.1320547763701506,0.017347599448882145,-0.02862476263186032,-0.003080957797711444,-0.08335138780276144,-0.046574108246115485,0.09052786435865885,-0.00029113321814159204,0.05061562760400873,0.003080957797711444,0.08335138780276144,0.046574108246115485,0.09052786435865885,0.01788314455924131,0.07157972996096149,0.0,3,0.3,0,0,0.06582663051696824,5.7064560843412,0.04027312341895855,58.30260318732038,0.10328691794943808,0.0,0,0,0,0
0.04,0.0,1,0,0,1,1,1,1,1,0.02984442130731541,0.0,0.023873835730056265,0.7853556335166999,0.0,0.6281824388956546,-0.0007639626227431666,-0.00012440090857273434,0.30782744016723995,-0.0014947398851585013,0.003573027618848812,0.0001810413714493768,0.18054371682127657,0.1325906553842692,0.01846564344808499,0.18148626683025362,-0.13127092091279088,0.01973783867533574,-0.18316698114612864,0.13203635718452142,0.017355858531077295,-0.18458755326753035,-0.1321434059865824,0.017358196310679197,0.000395458962338886,-0.00972527562034907,-0.11968228276659336,0.4575723844195444,0.16397736794318518,0.06067138068119291,0.02944896234497652,0.00972527562034907,0.11968228276659336,0.4575723844195444,0.16397736794318518,0.03679754495113664,0.07597178291646223,30.0,3,0.3,0,3,0.07090116964310385,109.30895243474781,0.0819605194240604,47.64949720726996,0.2882188346610917,30.0,0,0,0,0
0.05,0.0,1,0,0,1,0,0,1,1,0.03769768309009279,0.0,0.030154717620856746,0.7853261782777381,0.0,0.628088189080048,-0.0005108639519285194,-0.00033968533960039294,0.3064748806512587,0.005845276783203237,0.006390782423216335,0.001366929009149208,0.16944293211582978,0.13793614257082246,0.019321019159387748,0.1768058106907243,-0.12780719748090733,0.027944243163526977,-0.18323417642846712,0.1319514509143289,0.017363637821774913,-0.1928449745909944,-0.1313164073313384,0.01741945810821005,0.04752596541711325,-0.03182389591703508,-0.1421921212073112,0.9682094340851893,0.4450481038661025,0.16237643372131494,0.00982828232702046,0.03182389591703508,0.1421921212073112,0.9682094340851893,0.4450481038661025,0.1322217161004582,0.17387389434451372,50.0,3,0.3,0,3,0.13419020499680806,235.33862027179174,0.136933855682217,81.5889113880085,0.6907958467924532,50.0,0,0,0,0
0.06,0.0,1,0,0,1,0,0,0,1,0.04555057281195724,0.0,0.036434409055038704,0.7852889721864452,0.0,0.6279691434181958,1.2995619624981878e-05,-0.0005794957621439501,0.3047138085985619,0.011931022016878711,0.009777702081606998,0.002434466638672022,0.15983194696429565,0.14194319888153664,0.019420105676461713,0.17539806964342344,-0.12408142936860703,0.0365056226342258,-0.18508034937708762,0.13037666745955578,0.02516783098300346,-0.19708405915577315,-0.13113837123255082,0.017452424064894945,0.06004056321205606,-0.023450942896658312,-0.21040322724634516,0.2986282748428349,0.18813798271009702,0.07918029449635376,0.014489990400098816,0.023450942896658312,0.21040322724634516,0.2986282748428349,0.18813798271009702,0.04274588544131506,0.08068681873807218,45.0,3,0.3,0,3,0.09904362632475228,77.1853406991069,0.07497997383669741,25.18038546356402,0.2380755090966885,45.0,0,0,0,0
0.07,0.0,1,0,0,1,1,0,0,1,0.05340301296805755,0.0,0.04271266212113687,0.7852440156100309,0.0,0.6278253066098166,0.0005678975280840841,-0.000831255539658431,0.3025712387950796,0.01340940536074064,0.011263715903635063,0.003306065783638378,0.15917270529031782,0.1421855685118109,0.019428530794223603,0.17600031777425992,-0.12264562344701113,0.045689821126132346,-0.18715029610300044,0.13017113780700126,0.037942113510405356,-0.19731353125238313,-0.13116270426627943,0.017463748765463916,0.052748955567307805,-0.02898874599793695,-0.20641142105465568,0.1588934326359834,0.26475734183936855,0.07309624421943338,0.0006540574007497454,0.02898874599793695,0.20641142105465568,0.1588934326359834,0.26475734183936855,0.03038358209829651,0.060026385496983206,0.0,3,0.3,0,3,0.07996082326270862,48.15752789384116,0.08041580067125978,78.50409700314295,0.12300157370932774,0.0,0.02,0.0,0.0,0.0
0.08,0.0,1,0,0,1,1,0,0,1,0.06125492605797953,0.0,0.048989228964470284,0.7851913089921981,0.0,0.6276566843333414,0.0010915936435062998,-0.0010396345823312574,0.30058083459952106,0.0160770218101282,0.015253762840190976,0.0038566087910175397,0.15905332067277117,0.1421707834634895,0.019434897088064396,0.17733409836977965,-0.12361607440026351,0.05704688579981021,-0.18765579030626106,0.1300154485551905,0.051159905292018526,-0.19735415593621808,-0.1311840398852531,0.017472795869106494,0.05855012440717924,-0.021397707396519552,-0.18556891007549361,0.23211779189840812,0.5146433905590941,0.0440942254624063,0.0027048016508002953,0.021397707396519552,0.18556891007549361,0.23211779189840812,0.5146433905590941,0.004895003502063983,0.02899751254938383,0.0,3,0.3,0,3,0.031600699793517824,76.783854901708,0.08205326677201892,60.871432937711255,0.16464729565899117,0.0,0,0,0,0
0.09,0.0,1,0,0,1,1,0,0,1,0.06910623458651093,0.0,0.055263861796927174,0.7851308528531393,0.0,0.627463283245689,0.0016750571127189865,-0.001228191497511518,0.2989227165801046,0.017536081144353653,0.02116495666130702,0.004430189600136747,0.15893885352302292,0.14215705923190686,0.019441297686483366,0.17756136817132756,-0.1257593263546749,0.06733256501616693,-0.18830184114077383,0.12979547470787442,0.06130019852681487,-0.19734236374213107,-0.13120437473278143,0.017480749120872524,0.06494017235577969,-0.020247726447983123,-0.14387862035106183,0.12510208527764446,0.6589616894746302,0.04025187861156529,0.004166062230731238,0.020247726447983123,0.14387862035106183,0.12510208527764446,0.6589616894746302,0.015011983185361885,0.039425771864076246,0.0,3,0.3,0,3,0.031855493059369994,77.53059851063333,0.0860195060915204,98.08817537133028,0.060758153743135535,0.0,0,0,0,0
0.1,0.0,1,0,0,1,1,0,0,1,0.07695686106440629,0.0,0.06153631290674721,0.7850626477895362,0.0,0.6272451109820033,0.0023397687669727846,-0.0013868057761892078,0.2976862295276947,0.017787993932415022,0.028450563945568774,0.005042692084861948,0.15883847126195755,0.14214625794361818,0.019447227562058356,0.1787165688358943,-0.12813921972838582,0.07628115786807839,-0.18773405940014243,0.12916814560795536,0.06960645345902833,-0.19727721523197214,-0.13122267517797756,0.01748846837359125,0.07451468715614182,-0.018079184762150414,-0.0973411028276394,-0.10268447110531732,0.7596081381875793,0.05817997210132714,0.0024421739082644695,0.018079184762150414,0.0973411028276394,0.10268447110531732,0.7596081381875793,0.0033563408054200702,0.023877699475834954,0.0,3,0.3,0,3,0.030674161314129665,102.9130557078784,0.09422543385565885,64.00634386350093,0.08351694066852289,0.0,0,0,0,0
