time,trans_flag,des_cont_state_fl,des_cont_state_fr,des_cont_state_rl,des_cont_state_rr,cont_state_fl,cont_state_fr,cont_state_rl,cont_state_rr,vel_cmd_x,vel_cmd_y,vel_cmd_yaw,acc_cmd_x,acc_cmd_y,acc_cmd_yaw,base_pos_x,base_pos_y,base_pos_z,base_ang_roll,base_ang_pitch,base_ang_yaw,FL_foot_pos_x,FL_foot_pos_y,FL_foot_pos_z,FR_foot_pos_x,FR_foot_pos_y,FR_foot_pos_z,RL_foot_pos_x,RL_foot_pos_y,RL_foot_pos_z,RR_foot_pos_x,RR_foot_pos_y,RR_foot_pos_z,base_vel_x,base_vel_y,base_vel_z,base_vel_roll,base_vel_pitch,base_vel_yaw,x_vel_err,y_vel_err,z_vel_err,roll_vel_err,pitch_vel_err,yaw_vel_err,cmd_err,cont_err,terr_freq,terr_height,failed,gait_id,base,CoT,musculoskeletal,foot_force,MWE,stability,FL_stride_t,FR_stride_t,RL_stride_t,RR_stride_t
0.01,0.0,1,1,1,1,1,1,1,1,0.006283178692509316,0.0,0.005026527078818862,0.6283178692509316,0.0,0.5026527078818862,-5.657541819410156e-05,-1.4721827760222959e-05,0.3098961884464356,-0.0010968313926794696,0.0004578876167451451,-2.6175104584726017e-05,0.18297088141707887,0.13204813128978798,0.017331778776510876,0.18295956091564392,-0.1320266891959093,0.017392842223986182,-0.18301304483898012,0.13204936492243521,0.017331680818791856,-0.18300483590377148,-0.13205059409660763,0.017331675133188895,-0.013471211017004353,-0.001678269191862447,-0.025833366063735153,-0.17812781576742454,0.09632611707238706,-0.008490217458744006,0.019754389709513667,0.001678269191862447,0.025833366063735153,0.17812781576742454,0.09632611707238706,0.013516744537562868,0.03494940343893898,70.0,3,0.3,0,42,0.017729041270707502,7.051618588717344,0.02846766914740841,61.21270754878483,0.019209789226738713,70.0,0,0,0,0
0.02,0.0,1,1,1,1,1,1,1,1,0.014137091596022201,0.0,0.011309492449657768,0.7853912903512885,0.0,0.6282965370838907,-0.00023263942086658725,-4.009372151320931e-05,0.30946777553443083,-0.0028254089710592007,0.0014555419412898285,-5.193984485640173e-05,0.1829067321707353,0.13204678470959422,0.01734021090750809,0.18288134565547445,-0.13198858860623994,0.017503357479235926,-0.18305112443050467,0.13204762878772097,0.01733979637747851,-0.18303409482489946,-0.13205227234238937,0.01733973368079736,-0.022335266339301028,-0.0014881360204709337,-0.05729689356988648,-0.09480698917516604,0.1072852832964922,0.013775548682101253,0.03647235793532323,0.0014881360204709337,0.05729689356988648,0.09480698917516604,0.1072852832964922,0.002466056232443484,0.040426550188237646,0.0,3,0.3,0,0,0.041804543717620164,5.937602636645198,0.03774934156480166,72.8233964387562,0.06622941411393429,0.0,0,0,0,0
0.03,0.0,1,0,0,1,1,1,1,1,0.02199086497214841,0.0,0.01759201134109972,0.7853773376126207,0.0,0.628251889144195,-0.00044706413268608163,-4.609953645914232e-05,0.3087426325434678,-0.0015697380893127252,0.0027657030391425863,0.00011663251473407537,0.18069176482027502,0.1326771652581871,0.018653038011966216,0.1815124503892402,-0.1310943078903784,0.019912748856523055,-0.18309201736774566,0.1320427579420071,0.017347921171305486,-0.18477247921518128,-0.13205765620297236,0.01735115866474818,0.002593671688642457,-0.0049300881850793885,-0.09922079727117292,0.5115893603621287,0.1797264216765369,0.051051913828679366,0.01939719328350595,0.0049300881850793885,0.09922079727117292,0.5115893603621287,0.1797264216765369,0.03345990248757964,0.057787183956164986,30.0,3,0.3,0,3,0.05127560922339495,108.37194608730167,0.08209824456771002,106.2728483213034,0.2649107465805799,30.0,0,0,0,0
0.04,0.0,1,0,0,1,0,0,1,1,0.02984442130731541,0.0,0.023873835730056265,0.7853556335166999,0.0,0.6281824388956546,-0.0001611966030729109,-0.0002300113746765667,0.30755914788784283,0.004587337654683766,0.005668908172813847,0.0013055676235780884,0.16964486940937654,0.13777335402257837,0.01997273874124439,0.17663887542468107,-0.1277068226606171,0.02758992828184323,-0.18353654993388818,0.13158470362596308,0.017919155376404983,-0.1927563089828164,-0.13124362645260182,0.01741403517261242,0.038384105433123324,-0.019941157038055886,-0.12741415864678352,0.8700060059815581,0.43000576767795146,0.11283586447357967,0.008539684125807915,0.019941157038055886,0.12741415864678352,0.8700060059815581,0.43000576767795146,0.08896202874352341,0.11744286990738721,50.0,3,0.3,0,3,0.13172820143543001,207.61434977622943,0.1266755452299892,113.44577201811676,0.7146142755068655,50.0,0,0,0,0
0.05,0.0,1,0,0,1,1,0,0,1,0.03769768309009279,0.0,0.030154717620856746,0.7853261782777381,0.0,0.628088189080048,0.0001859979891934847,-0.0003130576781143823,0.30606537190338934,0.010883705436290378,0.00948604519702334,0.0016377643193998387,0.16658244137385045,0.1388143944190589,0.01983892423932565,0.17761888378786597,-0.12432760202877582,0.0374250092243881,-0.185881024132368,0.13031095100612924,0.032219089369599024,-0.1930821569881809,-0.13126131374717728,0.017424123466285607,0.025684501591753905,-0.007135672633818773,-0.1537818092722668,0.43979073030741095,0.3662122780793796,0.009849118424902348,0.012013181498338885,0.007135672633818773,0.1537818092722668,0.43979073030741095,0.3662122780793796,0.0203055991959544,0.03945445332811206,25.0,3,0.3,0,3,0.04076330256274448,165.8538027699344,0.11415104085693148,126.11814442576129,0.44838398155434267,25.0,0.01,0.0,0.0,0.0
0.06,0.0,1,0,0,1,1,0,0,1,0.04555057281195724,0.0,0.036434409055038704,0.7852889721864452,0.0,0.6279691434181958,0.00034140169613959635,-0.0003717914121989514,0.30466300056747136,0.015795890796822937,0.014112961944224178,0.0018800955292212352,0.1664633723537311,0.13881059911652893,0.019842435681534293,0.17838662206978576,-0.12234947296491286,0.04728355602476714,-0.18768561630344968,0.13247288784896588,0.04888892363537295,-0.1931144172520752,-0.13126810560798777,0.017432236513131444,0.016521984732893687,-0.004305009317982866,-0.12854784557540203,0.6310490693517704,0.6030310833771667,0.0038989508857947153,0.029028588079063555,0.004305009317982866,0.12854784557540203,0.6310490693517704,0.6030310833771667,0.03253545816924399,0.06586905556629041,0.0,3,0.3,0,3,0.050069936058503,63.437370412988955,0.07764668477174387,155.70433195414859,0.09662132135929358,0.0,0,0,0,0
0.07,0.0,1,0,0,1,1,0,0,1,0.05340301296805755,0.0,0.04271266212113687,0.7852440156100309,0.0,0.6278253066098166,0.0005166104699511324,-0.0003845039266416479,0.3035009047894226,0.02039467723764369,0.021217425537442658,0.0022031418278968826,0.16632998078967592,0.13881067237292816,0.01984670333802413,0.1770225799510981,-0.12273813719617778,0.05634888741077526,-0.18858990849559895,0.1348839941602738,0.06182946183078944,-0.1930935590573596,-0.13127505380091536,0.01743986577015394,0.02386431618942505,-0.006631192946724285,-0.10362917536515645,0.2029074940115641,0.7633860416003558,0.04565135269942583,0.029538696778632502,0.006631192946724285,0.10362917536515645,0.2029074940115641,0.7633860416003558,0.002938690578288959,0.039108580303645744,0.0,3,0.3,0,3,0.0518104337951397,76.68359748790124,0.0887186519687441,143.8387274547993,0.18857612624850395,0.0,0,0,0,0
0.08,0.0,1,0,0,1,1,0,0,1,0.06125492605797953,0.0,0.048989228964470284,0.7851913089921981,0.0,0.6276566843333414,0.0008010971067494578,-0.00042847346765222246,0.3025584160513201,0.022380965103912773,0.028862613410341353,0.002660302692822421,0.16621034413911037,0.13880907392592606,0.01985076663255239,0.1753168706505858,-0.12442288132990756,0.06485782061957884,-0.18998754037887639,0.1356292919275,0.07166453660469532,-0.19304086844998633,-0.13128280619831353,0.017447576731595693,0.03660514813225305,-0.005486296964217499,-0.08159415488298499,0.1922191014043119,0.789550751341084,0.014563892070169157,0.02464977792572648,0.005486296964217499,0.08159415488298499,0.1922191014043119,0.789550751341084,0.03442533689430113,0.0645614117842451,0.0,3,0.3,0,3,0.05263859279747292,81.16712834840368,0.08460710044835244,140.88964869803075,0.05048506178068529,0.0,0,0,0,0
0.09,0.0,1,0,0,1,1,0,0,1,0.06910623458651093,0.0,0.055263861796927174,0.7851308528531393,0.0,0.627463283245689,0.0011998384772922972,-0.00047617301380444655,0.30186485394005996,0.02257377188559513,0.03710526999841468,0.003271807809263904,0.1660988170632196,0.13880983951403905,0.019854690966569,0.1760387994971505,-0.12628972743522482,0.07333007567075826,-0.1897216992637912,0.13521094178330612,0.07848874502630795,-0.19294714151594541,-0.13129373552625842,0.017455728849367302,0.04978748863387617,-0.006112640410148456,-0.05324992578475002,-0.07330589077490612,0.8414086002774079,0.06085565327991652,0.019318745952634754,0.006112640410148456,0.05324992578475002,0.07330589077490612,0.8414086002774079,0.005591791482989349,0.03102317784577256,0.0,3,0.3,0,3,0.03954225063732373,106.07869714451351,0.10095014847889985,138.9842270446142,0.0970559399662175,0.0,0,0,0,0
0.1,0.0,1,0,0,1,1,0,0,1,0.07695686106440629,0.0,0.06153631290674721,0.7850626477895362,0.0,0.6272451109820033,0.0017866976723862414,-0.0005288706723940682,0.3014379724281596,0.02056161475101562,0.04477040422164813,0.003944941905162732,0.16602385665999445,0.1388097598112201,0.019857737103604,0.17832365159168495,-0.1282727681318778,0.08092422592614748,-0.1887584566636462,0.13399344984455128,0.0830748391721256,-0.19282953011622622,-0.13130406218591803,0.017464351638956682,0.07031667624611612,-0.007911996081703685,-0.02891151374005914,-0.3094391296643614,0.6655574758185626,0.05250629047420488,0.006640184818290165,0.007911996081703685,0.02891151374005914,0.3094391296643614,0.6655574758185626,0.009030022432542327,0.023582203332536175,0.0,3,0.3,0,3,0.027446033485447142,99.19988137496541,0.08575029938470138,142.54283572305022,0.050425954693322034,0.0,0,0,0,0
