time,trans_flag,des_cont_state_fl,des_cont_state_fr,des_cont_state_rl,des_cont_state_rr,cont_state_fl,cont_state_fr,cont_state_rl,cont_state_rr,vel_cmd_x,vel_cmd_y,vel_cmd_yaw,acc_cmd_x,acc_cmd_y,acc_cmd_yaw,base_pos_x,base_pos_y,base_pos_z,base_ang_roll,base_ang_pitch,base_ang_yaw,FL_foot_pos_x,FL_foot_pos_y,FL_foot_pos_z,FR_foot_pos_x,FR_foot_pos_y,FR_foot_pos_z,RL_foot_pos_x,RL_foot_pos_y,RL_foot_pos_z,RR_foot_pos_x,RR_foot_pos_y,RR_foot_pos_z,base_vel_x,base_vel_y,base_vel_z,base_vel_roll,base_vel_pitch,base_vel_yaw,x_vel_err,y_vel_err,z_vel_err,roll_vel_err,pitch_vel_err,yaw_vel_err,cmd_err,cont_err,terr_freq,terr_height,failed,gait_id,base,CoT,musculoskeletal,foot_force,MWE,stability,FL_stride_t,FR_stride_t,RL_stride_t,RR_stride_t
0.01,0.0,1,0,0,1,0,0,1,1,0.006283178692509316,0.0,0.005026527078818862,0.6283178692509316,0.0,0.5026527078818862,0.00015313293028551079,-3.708831084330053e-05,0.30977000816706657,0.0013589327974891324,0.000904979401192163,6.38101642842514e-05,0.17910489327657939,0.13398585674203398,0.01872754928226067,0.18086328158552636,-0.13048578176940917,0.02161568188179938,-0.1829851208808999,0.13204473900855626,0.017331577659071423,-0.1834821942131792,-0.1320345988758796,0.017332097063121416,0.0349951690734104,-0.00790486597214903,-0.05619966418807215,0.33177815702661934,0.21220911552201804,0.016277188741898842,0.028711990380901088,0.00790486597214903,0.05619966418807215,0.33177815702661934,0.21220911552201804,0.01125066166307998,0.0478675180161301,55.0,3,0.3,0,3,0.025633898270132092,87.56727375446494,0.07653145526964597,35.15594549870737,0.2114075992452107,55.0,0,0,0,0
0.02,0.0,1,0,0,1,0,0,1,1,0.014137091596022201,0.0,0.011309492449657768,0.7853912903512885,0.0,0.6282965370838907,0.000691637477293351,-0.00018474579482822458,0.3089178304921037,0.007631150767964715,0.003830421086364222,0.0008593020337651876,0.16907966509034755,0.1392979599852529,0.01969009782263717,0.1789053887187692,-0.1274743446824938,0.03077515814465348,-0.18294922635928926,0.13171675775743255,0.01831789062090189,-0.18962881845805268,-0.13144137676426418,0.01737194916964288,0.06599557012483442,-0.015521835584987782,-0.11746143572971754,0.6606639326417808,0.2722814714613993,0.09409920797145375,0.05185847852881222,0.015521835584987782,0.11746143572971754,0.6606639326417808,0.2722814714613993,0.08278971552179598,0.150170029635596,50.0,3,0.3,0,3,0.1393631575307037,142.4996960934247,0.0949444022782233,31.91764675388154,0.38562855905463944,50.0,0,0,0,0
0.03,0.0,1,0,0,1,1,0,0,1,0.02199086497214841,0.0,0.01759201134109972,0.7853773376126207,0.0,0.628251889144195,0.0013860005818496174,-0.0002443044930705019,0.30733352176359147,0.012789695134259533,0.005243753489781344,0.0013310612933323186,0.1628251323824498,0.14154214088484768,0.01974158016094074,0.1819806916518209,-0.12479651239662368,0.04035374348221671,-0.1828235435916424,0.13045649016431968,0.029888877330720404,-0.19237734570386483,-0.1318089956188583,0.017393932133351525,0.07103062789952858,-0.005709813739808793,-0.18574554164106355,0.3253366517330023,0.03507661098595573,0.0450000619738688,0.049039762927380166,0.005709813739808793,0.18574554164106355,0.3253366517330023,0.03507661098595573,0.02740805063276908,0.08215762729995804,30.0,3,0.3,0,3,0.08439048855788209,81.33664964078903,0.0694661671543096,38.610949192504734,0.2076883364670472,30.0,0.02,0.0,0.0,0.0
0.04,0.0,1,0,0,1,1,0,0,1,0.02984442130731541,0.0,0.023873835730056265,0.7853556335166999,0.0,0.6281824388956546,0.002019874450646375,-0.00028246748213628614,0.3055794810744117,0.015562012078191655,0.0070732092914203015,0.001666642680504066,0.16274127557917215,0.1415376471351839,0.01974545125584881,0.1839726845659017,-0.12402668371974923,0.050600053785262444,-0.1832049190587788,0.13105074542013026,0.04380633139150969,-0.19242323723675428,-0.13181475783916988,0.017403560159822556,0.06013443480360062,-0.004517107096982867,-0.16333835087075527,0.27462849103815234,0.3723212123939413,-0.0028860344762056244,0.03029001349628521,0.004517107096982867,0.16333835087075527,0.27462849103815234,0.3723212123939413,0.026759870206261888,0.061566990799529965,0.0,3,0.3,0,3,0.06301071395673602,59.13856059992412,0.0859501652645293,67.25990431760904,0.12353979095709722,0.0,0,0,0,0
0.05,0.0,1,0,0,1,1,0,0,1,0.03769768309009279,0.0,0.030154717620856746,0.7853261782777381,0.0,0.628088189080048,0.002608798581791914,-0.0003242802437380967,0.3040870014851972,0.016315878739974258,0.011985065446189935,0.001753283574626873,0.1626379405485622,0.14152990929101766,0.01975026016957457,0.18345097533359778,-0.12492153301781625,0.06224460341706459,-0.1835143261968323,0.13160684069197132,0.05638636023098667,-0.19241242442788925,-0.1318210825683556,0.017411691809991386,0.060674032271457096,-0.012227151174600695,-0.13089809634888763,-0.20572917988935166,0.5485150481188629,0.030425094236049728,0.022976349181364306,0.012227151174600695,0.13089809634888763,0.20572917988935166,0.5485150481188629,0.0002703766151929826,0.03547387697115798,0.0,3,0.3,0,3,0.05709994606651173,76.23725694054268,0.09131006694965162,95.26651016370252,0.1419585405863497,0.0,0,0,0,0
0.06,0.0,1,0,0,1,1,0,0,1,0.04555057281195724,0.0,0.036434409055038704,0.7852889721864452,0.0,0.6279691434181958,0.0032276801156531395,-0.0004455876347192775,0.3028999915085315,0.014854437476479741,0.017543112269337025,0.002210707187625001,0.1625468622429776,0.14152113413847242,0.019754529337589644,0.18228786274848333,-0.12727425133670248,0.0724350709780778,-0.184870301349512,0.13175183945164637,0.0650606584730111,-0.19237213606660045,-0.13183441427738443,0.017419585069353455,0.06708012830113355,-0.013080512509558535,-0.10711637043497156,-0.022355753719986455,0.5693547056967008,0.028532469405386954,0.02152955548917631,0.013080512509558535,0.10711637043497156,0.022355753719986455,0.5693547056967008,0.00790193964965175,0.0425120076483866,0.0,3,0.3,0,3,0.04334973692915874,64.13289087762637,0.08210033576680388,56.59503951874291,0.06530949099531469,0.0,0,0,0,0
0.07,0.0,1,0,0,1,1,0,0,1,0.05340301296805755,0.0,0.04271266212113687,0.7852440156100309,0.0,0.6278253066098166,0.003891611604326348,-0.0005516508721071902,0.30197368092471394,0.014243608004648361,0.023824303332269592,0.002618061577780186,0.16246837946316292,0.1415140151241654,0.01975831537870809,0.1821461946596484,-0.12930614077106872,0.08128529817625602,-0.18468526671984647,0.1305921639194298,0.0725651444591003,-0.19230274359767624,-0.131846160528481,0.017427493697632135,0.07074700176241938,-0.01046906093705614,-0.0771177253031142,-0.03719100684495011,0.6677407832567968,0.03630837311225051,0.01734398879436183,0.01046906093705614,0.0771177253031142,0.03719100684495011,0.6677407832567968,0.0064042890088863574,0.03421733874030433,0.0,3,0.3,0,3,0.03799892551428323,76.56417868911983,0.08356039413272145,86.15127332684389,0.04746818387913565,0.0,0,0,0,0
0.08,0.0,1,0,0,1,1,0,0,1,0.06125492605797953,0.0,0.048989228964470284,0.7851913089921981,0.0,0.6276566843333414,0.0046385451453606575,-0.0006619610611466806,0.3012961352109765,0.013443550998970143,0.029963434764275876,0.00321856565434058,0.16241454450487514,0.14150877151111887,0.01976134852469577,0.18280980366893038,-0.13095319829670687,0.08822418788024272,-0.18296821267992716,0.12960413595565554,0.07850382084583037,-0.19221556311427862,-0.13186101394796781,0.01743557533456261,0.083313225556848,-0.013115857483423555,-0.0535859711386235,-0.16413644927471704,0.5430642983826989,0.05894653556107199,0.02205829949886847,0.013115857483423555,0.0535859711386235,0.16413644927471704,0.5430642983826989,0.009957306596601705,0.04513146357889373,0.0,3,0.3,0,3,0.03923234278145485,77.34039108126527,0.08116178596901631,55.942954724756945,0.05610786823599995,0.0,0,0,0,0
0.09,0.0,1,0,0,1,1,0,0,1,0.06910623458651093,0.0,0.055263861796927174,0.7851308528531393,0.0,0.627463283245689,0.005517252855139437,-0.0007682020396276945,0.3008632637923301,0.012306274644153677,0.035170464400058776,0.0038838735707521772,0.16239396108673315,0.14150581173912316,0.019763610929988684,0.18425175060445195,-0.13199663167292328,0.09285638624953908,-0.1797046108609758,0.1286940963813246,0.08324117866012172,-0.19211278715948446,-0.13187586502965443,0.017443872328870402,0.09525794659838545,-0.010686085182791741,-0.02430985016971903,-0.052673629330320715,0.4844116820729592,0.07072771461399262,0.026151712011874523,0.010686085182791741,0.02430985016971903,0.052673629330320715,0.4844116820729592,0.015463852817065443,0.052301650011731704,0.0,3,0.3,0,3,0.04384286153987925,87.34046967950259,0.08290097048423593,85.1043033755279,0.023310396768507935,0.0,0,0,0,0
0.1,0.0,1,0,0,1,1,0,0,1,0.07695686106440629,0.0,0.06153631290674721,0.7850626477895362,0.0,0.6272451109820033,0.006541304419042008,-0.0008695458197836187,0.3007066356808684,0.011994052082462679,0.03921542431478242,0.004666566718659093,0.16241459198297814,0.14150527228344617,0.01976524545041075,0.18588764108493175,-0.13235132489855728,0.0949674713912548,-0.17533036613830866,0.12792977236767752,0.08627366926288427,-0.19199987839128915,-0.13189192961423898,0.0174523652917892,0.11123786189568478,-0.010705737759064927,0.0001982756933671592,-0.06789281159089586,0.34337040761342413,0.07425037221321254,0.034281000831278496,0.010705737759064927,0.0001982756933671592,0.06789281159089586,0.34337040761342413,0.012714059306465332,0.05770079789680876,0.0,3,0.3,0,3,0.05598019546403923,88.98590397239587,0.07988043294061879,56.05780340559939,0.014006721895244392,0.0,0,0,0,0
