velocity,CoT
1.16,4.058349998
1.34,4.184243164
1.341,4.668658302
1.341,4.364785713
1.43,3.58725333
1.43,3.37601894
1.48,3.745665599
1.521148168,3.278578667
1.56,4.096288112
1.56,4.410643734
1.564,4.11685272
1.565,4.332116781
1.565,4.138040518
1.654,3.482714729
1.699,4.168314855
1.699,5.054809033
1.788,5.167175143
1.788,5.034719516
1.788,4.697522354
1.788,4.211567754
1.788,3.932576464
1.788,2.934619039
1.788,4.994081025
1.788,4.152163554
1.78958608,2.470803078
1.79,3.047932048
1.83,3.333074372
1.878,4.085158715
1.88,2.99943825
1.967,3.565010066
1.97,3.220286547
2.01,3.878958617
2.011,4.788120865
2.011,5.321394469
2.012,4.285260918
2.012,2.840882331
2.012,4.452544489
2.012,3.845486153
2.01328434,2.559028054
2.1,3.43584725
2.1009,2.878857546
2.235,3.319473813
2.235,3.383401696
2.235,5.202881136
2.235,4.815377426
2.235,3.247356744
2.235,3.215476648
2.235,3.424768607
2.235,3.77629252
2.2369826,2.602075492
2.325,2.704951177
2.325,4.037370196
2.369,3.934409481
2.458,4.510305778
2.458,3.571618444
2.46,4.04223295
2.46,2.406992612
2.46,3.367371795
2.548,4.362404997
2.59,2.559797031
2.68,2.377657049
2.68,2.785937915
2.68,3.156287625
2.682,3.225414085
2.9,3.157173346
2.906,2.314070877
2.95,2.863929279
3.13,2.278580322
3.13,3.23011296
3.13,2.994024159
3.22,2.834239449
3.22,2.783896908
3.263,3.942552906
3.353,2.668947488
3.576,3.856204265
3.576,2.903856482
3.576,2.908354725
3.576,3.175346463
3.58,2.529368058
3.8,2.319608664
3.8,2.659186227
4.113,3.144702677
4.2,2.93141901
4.56,2.299081978
