velocity,CoT
0.447,14.68645361
0.447,9.770137633
0.447,11.44477736
0.447,6.487547426
0.447,7.128787874
0.447,7.914799067
0.447,13.85800006
0.447,7.225357198
0.536,6.604056071
0.5364,6.795076934
0.67,10.36521885
0.67,10.0531145
0.67,5.355496542
0.67,4.441375324
0.67,7.533820118
0.67056,7.48010447
0.715,8.995421462
0.715,5.24411614
0.715,5.538701678
0.715,7.333864733
0.7153,5.318973653
0.715834432,4.21061615
0.76,3.79823509
0.76,5.604202799
0.805,3.195258482
0.805,8.73469237
0.849,6.170357287
0.894,5.379108621
0.894,5.772187871
0.894,4.047310021
0.894,5.750898761
0.894,4.388323461
0.894,7.321123983
0.894,4.254352598
0.983,3.764887801
0.983,9.467050216
1.028,5.698807264
1.03,4.994612045
1.07,4.725906312
1.073751648,4.112637206
1.073751648,3.598736365
1.117,5.765649327
1.1176,5.638421549
1.118,3.495589865
1.118,5.014841796
1.118,4.727951325
1.118,3.409221975
1.118,4.541779271
1.34,3.935970811
1.385,7.038450382
